"","expr","min","lq","mean","median","uq","max","neval"
"1","processDocument(file)",29.516108649,30.074685023,30.5408966708,30.465494399,30.988207827,31.659987456,5
"2","processDocument_by_component(file)",9.90751921,10.116877633,10.3798096162,10.228217315,10.77763597,10.868797953,5
