"","expr","min","lq","mean","median","uq","max","neval"
"1","processDocument(doc)",46.185213051,48.234724085,48.6229485504,48.873896619,49.205845534,50.615063463,5
"2","processDocument_by_component(doc)",10.712679793,11.038976161,11.1662381192,11.114617061,11.397550435,11.567367146,5
