"","expr","min","lq","mean","median","uq","max","neval"
"1","processDocument(doc)",30.618463062,30.898283306,33.0560327984,31.018043527,34.699640003,38.045734094,5
"2","processDocument_by_component(doc)",9.595557754,9.763843443,9.9170688234,10.004087084,10.095559191,10.126296645,5
