"","expr","min","lq","mean","median","uq","max","neval"
"1","processDocument(doc)",33.365312674,33.788272651,42.9292053654,44.229772663,46.205451758,57.057217081,5
"2","processDocument_by_component(doc)",9.616287108,9.881841197,10.0920475738,9.907501293,10.367233227,10.687375044,5
