"","expr","min","lq","mean","median","uq","max","neval"
"1","processDocument(file)",4.512756717,4.727588312,4.7990015298,4.760591426,4.947019369,5.047051825,5
"2","processDocument_by_component(file)",4.047870345,4.102880824,4.1647577698,4.194451495,4.217646917,4.260939268,5
