"","expr","min","lq","mean","median","uq","max","neval"
"1","processDocument(doc)",3.463693776,3.570949202,3.646326103,3.676016868,3.681413657,3.839557012,5
"2","processDocument_by_component(doc)",3.37442054,3.537891476,3.5596976376,3.596328899,3.602233063,3.68761421,5
