"","expr","min","lq","mean","median","uq","max","neval"
"1","processDocument(doc)",3.502303804,3.564054478,3.5654728156,3.566468927,3.595272575,3.599264294,5
"2","processDocument_by_component(doc)",3.230686553,3.234355725,3.3153856322,3.330479241,3.382088114,3.399318528,5
