"","expr","min","lq","mean","median","uq","max","neval"
"1","processDocument(file)",27.737481786,27.762282686,28.9551357348,28.174217599,30.334806079,30.766890524,5
"2","processDocument_by_component(file)",8.982344288,8.984323235,9.3102942434,9.090356041,9.51873097,9.975716683,5
