"","expr","min","lq","mean","median","uq","max","neval"
"1","processDocument(doc)",24.184926578,24.295061639,25.3379466508,24.477132143,24.501649118,29.230963776,5
"2","processDocument_by_component(doc)",7.416417143,7.532632135,11.1678486566,7.807785841,14.374092215,18.708315949,5
