"","expr","min","lq","mean","median","uq","max","neval"
"1","processDocument(doc)",51.091805887,52.255599128,56.5010778946,58.999135669,59.284311456,60.874537333,5
"2","processDocument_by_component(doc)",11.354359149,11.574202051,12.6511523228,11.656606762,11.892771928,16.777821724,5
