"","expr","min","lq","mean","median","uq","max","neval"
"1","processDocument(file)",79.83408275,80.808982595,82.2534568668,82.631865801,82.793055497,85.199297691,5
"2","processDocument_by_component(file)",13.66587195,13.933454063,14.3321286986,14.078597097,14.494257926,15.488462457,5
