,expr,min,lq,mean,median,uq,max,neval
1,processDocument(file),4.567489585,4.647719738,4.698181784,4.70591727,4.743464127,4.826318198,5
2,processDocument_by_component(file),3.785692483,3.828658187,3.867746185,3.877970199,3.880579726,3.965830329,5
