"","expr","min","lq","mean","median","uq","max","neval"
"1","processDocument(file)",59.953915051,65.56662846,68.8094033136,71.18024924,72.113501859,75.232721958,5
"2","processDocument_by_component(file)",13.053153231,13.567557845,13.848525392,13.77781507,14.218089634,14.62601118,5
